2026-01-24 12:31:51 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 12:37:02 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 12:37:18 | user=153 | LOGOUT | SUCCESS | session invalidated
2026-01-24 12:37:56 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 12:37:59 | user=153 | LOGOUT | SUCCESS | session invalidated
2026-01-24 12:40:57 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 12:41:09 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 12:41:23 | user=153 | LOGOUT | SUCCESS | session invalidated
2026-01-24 13:07:50 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 13:08:00 | user=153 | CREATE_POST | SUCCESS | postId=82
2026-01-24 15:40:28 | user=120 | Signup | failure | user already existsGOOGLE fromip=0:0:0:0:0:0:0:1
2026-01-24 15:49:05 | user=140 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 15:50:32 | user=140 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 15:51:50 | user=120 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 15:55:24 | user=120 | LOGOUT | SUCCESS | session invalidated
2026-01-24 16:12:08 | user=-1 | Signup | success |  new user login from google  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:14:34 | user=170 | Signup | success |  new user login from google  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:15:54 | user=171 | Signup | success |  new user login from google  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:17:39 | user=171 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:18:05 | user=171 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:19:35 | user=171 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:20:28 | user=171 | LOGOUT | SUCCESS | session invalidated
2026-01-24 16:20:41 | user=171 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:20:57 | user=140 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:49:57 | user=171 | CREATE_POST | SUCCESS | postId=83
2026-01-24 16:50:27 | user=171 | LOGOUT | SUCCESS | session invalidated
2026-01-24 16:52:40 | user=171 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-24 16:53:14 | user=153 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 16:53:26 | user=153 | comment creation  | SUCCESS | commentId=118
2026-01-24 16:53:34 | user=153 | EDIT_COMMENT | SUCCESS | commentId=118
2026-01-24 16:53:46 | user=153 | CREATE_POST | SUCCESS | postId=84
2026-01-24 16:57:29 | user=146 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-24 16:57:35 | user=146 | EDIT_POST | failure | postId=7
2026-01-24 16:57:35 | user=146 | EDIT_POST | SUCCESS | postId=7
